Temperature,Humidity,Pressure,Windspeed,Winddirection,Directinclined,Diffuseinclined,Reflected,Globalinclined,Directhoriz,Diffushoriz,Globalhoriz,TopAtm,ClearSkiGHI,Nebulosity,EPEX
272.8354,69.55,1022.7287,2.8615,190.7455,0,0,0,0,0,0,0,0,0,0,53.48
272.824925,69.436725,1022.708875,2.95495,190.257275,0,0,0,0,0,0,0,0,0,0,53.0925
272.81445,69.32345,1022.68905,3.0484,189.76905,0,0,0,0,0,0,0,0,0,0,52.705
272.803975,69.210175,1022.669225,3.14185,189.280825,0,0,0,0,0,0,0,0,0,0,52.3175
272.7935,69.0969,1022.6494,3.2353,188.7926,0,0,0,0,0,0,0,0,0,0,51.93
272.771525,69.1104,1022.632975,3.326325,188.57765,0,0,0,0,0,0,0,0,0,0,51.1375
272.74955,69.1239,1022.61655,3.41735,188.3627,0,0,0,0,0,0,0,0,0,0,50.345
272.727575,69.1374,1022.600125,3.508375,188.14775,0,0,0,0,0,0,0,0,0,0,49.5525
272.7056,69.1509,1022.5837,3.5994,187.9328,0,0,0,0,0,0,0,0,0,0,48.76
272.66465,69.29815,1022.59425,3.63215,188.26195,0,0,0,0,0,0,0,0,0,0,47.1375
272.6237,69.4454,1022.6048,3.6649,188.5911,0,0,0,0,0,0,0,0,0,0,45.515
272.58275,69.59265,1022.61535,3.69765,188.92025,0,0,0,0,0,0,0,0,0,0,43.8925
272.5418,69.7399,1022.6259,3.7304,189.2494,0,0,0,0,0,0,0,0,0,0,42.27
272.4972,69.932825,1022.6602,3.735375,189.896075,0,0,0,0,0,0,0,0,0,0,41.305
272.4526,70.12575,1022.6945,3.74035,190.54275,0,0,0,0,0,0,0,0,0,0,40.34
272.408,70.318675,1022.7288,3.745325,191.189425,0,0,0,0,0,0,0,0,0,0,39.375
272.3634,70.5116,1022.7631,3.7503,191.8361,0,0,0,0,0,0,0,0,0,0,38.41
272.326325,70.7103,1022.90725,3.781025,193.019125,0,0,0,0,0,0,0,0,0,0,37.7375
272.28925,70.909,1023.0514,3.81175,194.20215,0,0,0,0,0,0,0,0,0,0,37.065
272.252175,71.1077,1023.19555,3.842475,195.385175,0,0,0,0,0,0,0,0,0,0,36.3925
272.2151,71.3064,1023.3397,3.8732,196.5682,0,0,0,0,0,0,0,0,0,0,35.72
272.189175,71.468525,1023.383825,3.945275,197.891375,0,0,0,0,0,0,0,0,0,0,34.955
272.16325,71.63065,1023.42795,4.01735,199.21455,0,0,0,0,0,0,0,0,0,0,34.19
272.137325,71.792775,1023.472075,4.089425,200.537725,0,0,0,0,0,0,0,0,0,0,33.425
272.1114,71.9549,1023.5162,4.1615,201.8609,0,0,0,0,0,0,0,0,0,0,32.66
272.333475,71.161675,1023.5282,4.2405,201.681375,0,1,0,1.25,0,1.25,1.25,0.75,0,0,32.7025
272.55555,70.36845,1023.5402,4.3195,201.50185,0,2,0,2.5,0,2.5,2.5,1.5,0,0,32.745
272.777625,69.575225,1023.5522,4.3985,201.322325,0,3,0,3.75,0,3.75,3.75,2.25,0,0,32.7875
272.9997,68.782,1023.5642,4.4775,201.1428,0,4,0,5,0,5,5,3,0,0,32.83
273.3479,67.95445,1023.4832,4.438475,199.802925,10.5,14.25,0,25.75,3,13.5,16.25,33.75,0,0,32.1375
273.6961,67.1269,1023.4022,4.39945,198.46305,21,24.5,0,46.5,6,22,27.5,64.5,0,0,31.445
274.0443,66.29935,1023.3212,4.360425,197.123175,31.5,34.75,0,67.25,9,30.5,38.75,95.25,0.8229,0,30.7525
274.3925,65.4718,1023.2402,4.3214,195.7833,42,45,0,88,12,39,50,126,5.6299,0,30.06
274.76135,64.5936,1023.222925,4.300325,194.514125,74.75,57.75,0.25,133.5,25.5,46.75,71.75,164.75,11.3342,0,29.855
275.1302,63.7154,1023.20565,4.27925,193.24495,107.5,70.5,0.5,179,39,54.5,93.5,203.5,17.719,0,29.65
275.49905,62.8372,1023.188375,4.258175,191.975775,140.25,83.25,0.75,224.5,52.5,62.25,115.25,242.25,24.8538,0,29.445
275.8679,61.959,1023.1711,4.2371,190.7066,173,96,1,270,66,70,137,281,31.8521,0,29.24
276.18935,60.502825,1022.95525,4.321325,190.994175,207.5,102,1.25,310.75,83.5,73.25,157.5,307.5,38.6219,0,31.315
276.5108,59.04665,1022.7394,4.40555,191.28175,242,108,1.5,351.5,101,76.5,178,334,45.0801,0,33.39
276.83225,57.590475,1022.52355,4.489775,191.569325,276.5,114,1.75,392.25,118.5,79.75,198.5,360.5,51.0472,0,35.465
277.1537,56.1343,1022.3077,4.574,191.8569,311,120,2,433,136,83,219,387,56.4565,0,37.54
277.240625,55.345375,1022.09875,4.5956,193.6471,328.5,122.25,2,452.75,145.5,84,229.75,400.25,61.2656,0,38.4525
277.32755,54.55645,1021.8898,4.6172,195.4373,346,124.5,2,472.5,155,85,240.5,413.5,65.4457,0,39.365
277.414475,53.767525,1021.68085,4.6388,197.2275,363.5,126.75,2,492.25,164.5,86,251.25,426.75,68.9342,0,40.2775
277.5014,52.9786,1021.4719,4.6604,199.0177,381,129,2,512,174,87,262,440,71.7023,0,41.19
277.446775,53.2233,1021.4704,4.6301,200.521175,378.5,128.75,2,509.25,172.75,87,260.5,438.5,73.7292,0,42.065
277.39215,53.468,1021.4689,4.5998,202.02465,376,128.5,2,506.5,171.5,87,259,437,75,0,42.94
277.337525,53.7127,1021.4674,4.5695,203.528125,373.5,128.25,2,503.75,170.25,87,257.5,435.5,75.5055,0,43.815
277.2829,53.9574,1021.4659,4.5392,205.0316,371,128,2,501,169,87,256,434,75.2431,0,44.69
277.05165,54.711025,1021.420475,4.535775,204.8885,351.75,125,2,478.75,158.25,85.25,243.5,418,74.2144,0.75,43.46
276.8204,55.46465,1021.37505,4.53235,204.7454,332.5,122,2,456.5,147.5,83.5,231,402,72.426,1.5,42.23
276.58915,56.218275,1021.329625,4.528925,204.6023,313.25,119,2,434.25,136.75,81.75,218.5,386,70.2535,2.25,41
276.3579,56.9719,1021.2842,4.5255,204.4592,294,116,2,412,126,80,206,370,67.9572,3,39.77
275.94525,57.77465,1021.265525,4.6517,203.564475,234.75,105.5,1.75,342,99.75,76.75,176.5,340.75,63.9377,3,38.15
275.5326,58.5774,1021.24685,4.7779,202.66975,175.5,95,1.5,272,73.5,73.5,147,311.5,59.2577,3,36.53
